stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
504,Pelham Pkwy,40.858985,-73.855359,1,,445.0,Pelham Pkwy,Pelham Pkwy (5),Pelham Pkwy,445,Bx,False,5,Open Cut,40.858985,-73.855359,0.0,,False,Pelham Pkwy (5),40.858985,-73.855359
504N,Pelham Pkwy,40.858985,-73.855359,0,504,,,,,,,,,,,,,,False,Pelham Pkwy,,
504S,Pelham Pkwy,40.858985,-73.855359,0,504,,,,,,,,,,,,,,False,Pelham Pkwy,,
505,Morris Park,40.854364,-73.860495,1,,446.0,Morris Park,Morris Park (5),Morris Park,446,Bx,False,5,Open Cut,40.854364,-73.860495,0.0,,False,Morris Park (5),40.854364,-73.860495
505N,Morris Park,40.854364,-73.860495,0,505,,,,,,,,,,,,,,False,Morris Park,,
505S,Morris Park,40.854364,-73.860495,0,505,,,,,,,,,,,,,,False,Morris Park,,
601,Pelham Bay Park,40.852462,-73.828121,1,,360.0,Pelham Bay Park,Pelham Bay Park (6),Pelham Bay Park,360,Bx,False,6,Elevated,40.852462,-73.828121,1.0,,False,Pelham Bay Park (6),40.852462,-73.828121
601N,Pelham Bay Park,40.852462,-73.828121,0,601,,,,,,,,,,,,,,False,Pelham Bay Park,,
601S,Pelham Bay Park,40.852462,-73.828121,0,601,,,,,,,,,,,,,,False,Pelham Bay Park,,
602,Buhre Av,40.84681,-73.832569,1,,361.0,Buhre Av,Buhre Av (6),Buhre Av,361,Bx,False,6,Elevated,40.84681,-73.832569,0.0,,False,Buhre Av (6),40.84681,-73.832569
602N,Buhre Av,40.84681,-73.832569,0,602,,,,,,,,,,,,,,False,Buhre Av,,
602S,Buhre Av,40.84681,-73.832569,0,602,,,,,,,,,,,,,,False,Buhre Av,,
