YEAR,GEO_ID,NAME,S1701_C03_001E
2013,1400000US36047047200,"Census Tract 472, Kings County, New York",29.3
2013,1400000US36047047400,"Census Tract 474, Kings County, New York",13.2
2013,1400000US36047047600,"Census Tract 476, Kings County, New York",27.2
2013,1400000US36047047700,"Census Tract 477, Kings County, New York",12.6
2013,1400000US36047047800,"Census Tract 478, Kings County, New York",44.5
2013,1400000US36047048000,"Census Tract 480, Kings County, New York",40.8
2013,1400000US36047048100,"Census Tract 481, Kings County, New York",21.9
2013,1400000US36047048200,"Census Tract 482, Kings County, New York",39.6
2013,1400000US36047048400,"Census Tract 484, Kings County, New York",26
2013,1400000US36047048500,"Census Tract 485, Kings County, New York",20.2
2013,1400000US36047048600,"Census Tract 486, Kings County, New York",33.8
2013,1400000US36047048800,"Census Tract 488, Kings County, New York",36.3
2013,1400000US36047048900,"Census Tract 489, Kings County, New York",37.7
2013,1400000US36047049000,"Census Tract 490, Kings County, New York",28.3
2013,1400000US36047049100,"Census Tract 491, Kings County, New York",22.7
2013,1400000US36047049200,"Census Tract 492, Kings County, New York",33.3
2013,1400000US36047049300,"Census Tract 493, Kings County, New York",26.1
2013,1400000US36047049400,"Census Tract 494, Kings County, New York",24.2
2013,1400000US36047049500,"Census Tract 495, Kings County, New York",14.3
2013,1400000US36047049600,"Census Tract 496, Kings County, New York",13.4
2013,1400000US36047049700,"Census Tract 497, Kings County, New York",11
2013,1400000US36047049800,"Census Tract 498, Kings County, New York",21.8
2013,1400000US36047049900,"Census Tract 499, Kings County, New York",6.5
2013,1400000US36047050000,"Census Tract 500, Kings County, New York",11.8
2013,1400000US36047050100,"Census Tract 501, Kings County, New York",10
