station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_missing_flag,population_missing_flag,travel_time_to_midtown,log_travel_time,inv_travel_time,num_transfer_lines,transfer_score,log_service_intensity,combined_service,jobs_density_interaction,log_jobs_density_interaction,walkability_index,pop_poverty_interaction,log_pop_poverty_interaction,accessibility_demand
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,3228.187954,8.079985977,FALSE,65,0,0.999999,8.307705967,10.6990108,1.995208127,0.693147181,1.961343049,2.944438979,38.5,38.5,1,observed_gtfs,3.676300672,0,,,3926.717724,29.84687851,1,0,38.5,3.676300672,0.025316456,1,65,4.189654742,83,179636794,19.00644756,3.956551176,,,99.41057529
428,"174 St (2,5)",Bronx,3595.812651,8.187803358,FALSE,65,0,0.999999,8.3423635,10.6047517,1.859549481,0,2.032305121,2.772588722,36.5,36.5,1,observed_gtfs,3.624340933,0,,,4718.389966,22.58400956,1,0,36.5,3.624340933,0.026666667,1,65,4.189654742,80,169244025,18.94685217,3.891854602,,,125.8237324
429,"Freeman St (2,5)",Bronx,2699.229136,7.901091914,FALSE,65,0,0.999999,8.48714627,10.88183247,1.999037251,0.693147181,2.329559856,2.708050201,33.5,33.5,1,observed_gtfs,3.540959324,0,,,5397.202676,65.222048,1,0,33.5,3.540959324,0.028985507,1,65,4.189654742,79,258073200,19.36875383,4.328597107,,,156.4406573
430,"Simpson St (2,5)",Bronx,4497.658261,8.411534467,FALSE,65.33,0,0.999999,8.143517406,10.93663645,2.173529145,1.791759469,2.223079912,2.564949357,31.5,31.5,1,observed_gtfs,3.481240089,0,,,4596.127017,66.31425123,1,0,31.5,3.481240089,0.030769231,1,65.33,4.194642284,77.33,193317680,19.07984541,4.396609057,,,141.4192928
431,"Intervale Av (2,5)",Bronx,1852.235426,7.524688269,FALSE,65.67,0,0.999999,8.217168596,11.06157871,2.02871156,2.302585093,2.542232219,2.772588722,30,30,1,observed_gtfs,3.433987204,0,,,5996.271524,107.9481897,1,0,30,3.433987204,0.032258065,1,65.67,4.199755077,80.67,235792228,19.27846159,4.570943779,,,193.4281137
432,"Prospect Av (2,5)",Bronx,4109.270138,8.321244032,FALSE,66,0,0.999999,8.41249912,11.16593207,1.961356802,2.302585093,2.549987364,2.708050201,28.5,28.5,1,observed_gtfs,3.384390263,0,,,4381.404737,44.32177328,1,0,28.5,3.384390263,0.033898305,1,66,4.204692619,80,318201360,19.57819495,4.511344166,,,148.5221945
433,"Jackson Av (2,5)",Bronx,3122.304124,8.046646735,FALSE,66,0,0.999999,8.458292083,11.06513724,2.152677627,2.564949357,2.515672042,2.772588722,27,27,1,observed_gtfs,3.33220451,0,,,5659.861944,23.13847712,1,0,27,3.33220451,0.035714286,1,66,4.204692619,81,301174839,19.52320152,4.668349669,,,202.1379266
434,"3 Av-149 St (2,5)",Bronx,11628.18874,9.361273487,FALSE,77.67,0,0.999999,8.930758736,10.98796711,2.062324309,2.302585093,2.503567842,2.890371758,23,23.5,2,observed_gtfs,3.17805383,0,,,2358.716303,-58.80497851,1,0,23,3.17805383,0.041666667,2,155.34,4.365261888,94.67,447226920,19.91857668,4.565892151,,,98.27984596
603,"149 St-Grand Concourse (2,4,5)",Bronx,6980.165518,8.850971161,FALSE,45.33,2,0.999999,8.884610232,10.55458803,2.187884226,2.564949357,2.414470503,3.091042453,21,21.25,3,observed_gtfs,3.091042453,0,,,907.1139353,20.73267257,1,0,21,3.091042453,0.045454545,3,135.99,3.835789699,66.33,276863088,19.43903368,4.602354729,,,41.2324516
438,"135 St (2,3)",Manhattan,7199.292392,8.881876914,FALSE,74.67,0,0.999999,8.340933226,11.28833086,1.938046008,3.761200116,2.261229871,3.218875825,16.75,16.88,2,observed_gtfs,2.876385516,0,21.71170397,0.071260492,5199.52094,32.94906945,0,0,16.75,2.876385516,0.056338028,2,149.34,4.326381781,98.67,334789653,19.62901299,4.199275879,112890.4594,11.6341821,292.9307572
