station_complex_id,poverty_latest,poverty_slope,poverty_change_ratio,poverty_first_year,poverty_last_year,n_years
502,22.6795434,0.013814604,1.071525182,2013,2024,12
503,34.86680904,0.720781909,1.287238806,2013,2024,12
504,14.11700651,-0.589130204,0.855387291,2013,2024,12
505,9.912197749,-0.055713381,0.867070243,2013,2024,12
506,5.237698731,-1.453387729,0.253962188,2013,2024,12
507,7.051678739,-0.136764976,0.93073965,2013,2024,12
508,4.081157799,-0.663932028,0.27164575,2013,2024,12
509,6.213921074,-0.003209973,0.983814903,2013,2024,12
510,13.81839086,1.11144028,2.348114627,2013,2024,12
511,18.40970489,0.741665381,4.729985484,2013,2024,12
512,7.924972929,0.04836627,1.685554195,2013,2024,12
513,4.208679043,-0.424838108,0.712721862,2013,2024,12
514,7.617650897,-0.23691639,0.991655362,2013,2024,12
515,2.9,-0.13006993,0.604166667,2013,2024,12
516,3.786870279,-0.310854721,0.583701616,2013,2024,12
517,8.694261208,0.226083961,1.717470177,2013,2024,12
518,4.49829087,-0.141846894,1.022338834,2013,2024,12
519,17.6487192,1.357261911,3.231687041,2013,2024,12
522,12.2,0.003146853,1.848484848,2013,2024,12
523,12.2,0.003146853,1.848484848,2013,2024,12
601,6.462221003,-0.277378537,0.897316236,2013,2024,12
602,8.718304419,-0.13333977,0.919742349,2013,2024,12
605,25.86921911,-0.451362909,0.973591883,2013,2024,12
606,11.2610959,1.620142354,2.125243753,2020,2024,5
607,14.75300946,0.140673733,1.004689049,2013,2024,12
608,6.855107205,-0.469477462,0.675784341,2013,2024,12
609,23.68506385,0.289473845,1.573143682,2013,2024,12
610,8.692626211,0.01164248,1.17779871,2013,2024,12
611,49.84592624,1.901653463,1.421817564,2013,2024,12
612,10.04398505,0.409706256,1.874769469,2013,2024,12
613,4.324757725,-0.443626559,0.529131018,2013,2024,12
614,6.141230117,-0.166849342,0.658116056,2013,2024,12
615,26.10589207,0.073313585,1.108718329,2013,2024,12
616,14.51583323,-0.319658868,0.781498922,2013,2024,12
617,10.07430258,-0.147701142,0.744091678,2013,2024,12
618,10.87266415,-0.185101454,1.001548522,2013,2024,12
619,12.26208165,0.157973355,1.023118763,2013,2024,12
620,6.069079041,-0.390719239,0.783922112,2013,2024,12
621,25.68656121,0.504366393,1.526976063,2013,2024,12
622,44.94609699,4.394974574,4.860587014,2013,2024,12
623,20.83140284,1.015117324,1.664711835,2013,2024,12
624,4.053814349,-0.070779355,0.950647094,2013,2024,12
625,22.52843349,-0.615690344,0.91897817,2013,2024,12
626,15.28255975,-0.632404757,0.584410766,2013,2024,12
627,14.28143977,-0.420260474,0.752685854,2013,2024,12
628,6.779371865,-0.193281274,0.751828779,2013,2024,12
629,13.83530506,0.092310621,0.987954089,2013,2024,12
630,18.4173176,-0.735150773,0.684584524,2013,2024,12
635,6.865661069,0.108243468,0.812492275,2013,2024,12
636,12.19576702,0.319386831,1.294412918,2013,2024,12
IBX_1,14.66222614,-0.284088769,0.811555216,2013,2024,12
IBX_10,14.76507853,-0.796269439,0.679994511,2013,2024,12
IBX_11,12.0526356,0.082557675,1.262372522,2013,2024,12
IBX_12,5.432426449,-0.468047094,0.682896353,2013,2024,12
IBX_13,13.52176709,-0.525049557,0.835096966,2013,2024,12
IBX_14,19.11367054,0.211116654,1.302268671,2013,2024,12
IBX_15,26.30850333,-0.286313095,0.93866001,2013,2024,12
IBX_16,22.40318724,-0.119035137,1.249815301,2013,2024,12
IBX_17,21.86232641,-1.355013579,0.582229834,2013,2024,12
IBX_18,22.66645092,-1.236796845,0.735686337,2013,2024,12
IBX_19,7.5,-1.254545455,0.535714286,2013,2024,12
IBX_2,14.85570141,0.139682308,1.29733991,2013,2024,12
IBX_3,8.951147925,0.130904076,1.517143716,2013,2024,12
IBX_4,11.31586432,-0.459097521,0.701099564,2013,2024,12
IBX_5,14.42355879,-1.16732975,0.558515685,2013,2024,12
IBX_6,22.44715507,-1.285708094,0.601539011,2013,2024,12
IBX_7,14.08825275,-1.795654588,0.417534189,2013,2024,12
IBX_8,42.73441811,-1.062061093,0.793725595,2013,2024,12
IBX_9,27.37289716,-1.340317709,0.672546657,2013,2024,12
