station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density
62,55 St (D),Brooklyn,1395.530842,7.24174647,35.0,0,8798,56269,1.896922809,1.098612289,27.93215412,8,2.0,307930.0,1969415.0,495054662,106737.94953962101,0.499999750000125,9.08239335764556,10.937916812427325
615,"62 St/New Utrecht Av (D,N)",Brooklyn,3751.465409,8.230168345,34.67,1,7416,50843,1.785037348,0.693147181,18.55709846,8,1.5,257112.72,1762726.81,377051688,90756.653884364,0.6666662222225186,8.911529941736559,10.836517400414559
64,71 St (D),Brooklyn,3459.854439,8.149270785,34.0,0,5431,50157,1.707274748,1.098612289,10.92247486,9,1.75,184654.0,1705338.0,272402667,85631.779535436,0.5714282448981458,8.600062669238532,10.822933302103584
65,79 St (D),Brooklyn,4432.119436,8.396858777,34.0,0,4373,51136,1.330738601,1.609437912,8.141814777,10,1.5,148682.0,1738624.0,223617728,68048.649100736,0.6666662222225186,8.383433201236713,10.842263584629354
66,18 Av (D),Brooklyn,4355.382862,8.379397373,34.33,0,3958,53177,1.441715688,1.791759469,6.505023461,10,2.0,135878.13999999998,1825566.41,210474566,76666.11514077599,0.499999750000125,8.28374674710613,10.881400055966452
67,20 Av (D),Brooklyn,3597.546746,8.188285361,34.33,0,3366,56064,1.607818234,1.791759469,7.093908339,10,1.5,115554.78,1924677.1199999999,188711424,90140.721470976,0.6666662222225186,8.121777419161074,10.934267010894981
68,Bay Pkwy (D),Brooklyn,5435.647073,8.600917803,35.0,0,3817,53422,1.532427268,1.098612289,8.131429364,10,1.5,133595.0,1869770.0,203911774,81865.329511096,0.6666662222225186,8.247482004285693,10.885996643829152
69,25 Av (D),Brooklyn,3088.780721,8.035855403,34.0,0,2295,49740,1.413561873,1.386294361,7.084913877,10,2.0,78030.0,1691160.0,114153300,70310.56756302,0.499999750000125,7.738923757439457,10.81458482169893
70,Bay 50 St (D),Brooklyn,1906.832668,7.553723148,32.0,0,2222,25276,1.933273135,1.386294361,5.562700796,12,2.0,71104.0,808832.0,56163272,48865.41176026,0.499999750000125,7.706612913964197,10.13765017033277
210,Norwood-205 St (D),Bronx,4387.130685,8.386658603,34.33,2,6309,60957,1.802075942,2.302585093,8.989815303,18,2.0,216587.97,2092653.8099999998,384577713,109849.14319649401,0.499999750000125,8.749890955535259,11.01794038142337
211,"Bedford Park Blvd (B,D)",Bronx,4265.993529,8.358664767,46.67,2,3078,69508,1.983608156,2.48490665,7.972231898,19,1.5,143650.26,3243938.3600000003,213945624,137876.635707248,0.6666662222225186,8.0323601479245,11.149211519571827
