station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag
384,Burnside Av (4),Bronx,8.701789483,43,0,0.666666222,8.024207486,11.53106986,1.99861164,2.079441542,2.137025198,2.772588722,33.25,33.25,1,3.533686565,0
385,176 St (4),Bronx,8.100471221,43.67,0,0.666666222,7.877017896,11.48615019,2.084467121,1.609437912,2.184085401,2.833213344,31.25,31.25,1,3.473518043,0
386,Mt Eden Av (4),Bronx,8.033538473,43,0,0.666666222,7.921535632,11.48369231,2.10712115,0.693147181,2.255358253,2.833213344,30.25,30.25,1,3.442019376,0
387,170 St (4),Bronx,8.41126153,43,0,0.666666222,7.905441649,11.51940443,2.065993428,1.609437912,2.217304106,2.890371758,28.75,28.75,1,3.392829132,0
388,167 St (4),Bronx,8.631782,43.33,0,0.666666222,8.285261134,11.5275776,2.047639134,2.079441542,2.283412816,2.833213344,26.75,26.75,1,3.32323584,0
604,"161 St-Yankee Stadium (4,B,D)",Bronx,9.770279136,42.67,2,0.666666222,8.554296279,10.97635459,2.172833531,1.791759469,2.228629972,2.995732274,24.25,25.62,2,3.228826156,0
391,"138 St-Grand Concourse (4,5)",Bronx,7.870715422,70.67,0,0.999999,8.622093601,10.64380454,2.030236576,2.708050201,2.459182587,2.944438979,16.5,16.5,2,2.862200881,0
413,"Wall St (4,5)",Manhattan,9.427650206,83.67,1,0.999999,10.14659058,10.91723162,1.584442073,4.812184355,3.364631589,3.737669618,12.5,12.5,2,2.602689685,0
414,"Bowling Green (4,5)",Manhattan,9.773769641,83,1,0.999999,9.978966014,10.55880305,1.597350393,4.564348191,3.37537308,3.737669618,14,14,2,2.708050201,0
442,Eastchester-Dyre Av (5),Bronx,7.901085553,32.33,0,0.666666222,8.525954697,9.605216279,2.21205105,1.098612289,1.334957872,2.397895273,47.75,47.75,1,3.886705197,0
443,Baychester Av (5),Bronx,7.543953193,32.67,0,0.49999975,8.255828427,10.48313003,1.848498411,1.098612289,2.276383063,2.708050201,45,45,1,3.828641396,0
444,Gun Hill Rd (5),Bronx,8.034777348,32.67,0,0.49999975,8.485908901,10.38767142,1.37758833,0.693147181,1.579336475,2.63905733,43.25,43.25,1,3.789855371,0
445,Pelham Pkwy (5),Bronx,7.646847391,33,0,0.666666222,9.416541203,10.34942259,1.314923302,1.098612289,2.432977888,2.708050201,40.75,40.75,1,3.731699451,0
446,Morris Park (5),Bronx,7.531069055,33.67,0,0.571428245,8.30474227,10.73081591,1.758197724,1.609437912,2.161812924,2.564949357,39.75,39.75,1,3.70745584,0
360,Pelham Bay Park (6),Bronx,8.317685138,41.67,0,0.666666222,6.923628628,9.654128354,1.365046746,0,1.34148111,2.302585093,44,44,1,3.80666249,0
361,Buhre Av (6),Bronx,7.879884125,41.67,0,0.666666222,7.374629015,10.09385995,1.844091504,0.693147181,1.280454359,2.63905733,42,42,1,3.761200116,0
362,Middletown Rd (6),Bronx,7.317519029,42,0,0.666666222,9.090542809,9.941024156,1.888730477,1.098612289,1.650206272,2.63905733,41,41,1,3.737669618,0
363,Westchester Sq-E Tremont Av (6),Bronx,7.850747672,41.33,0,0.666666222,8.915566546,9.967353973,2.12455464,1.791759469,2.434182407,2.708050201,39,39,1,3.688879454,0
364,Zerega Av (6),Bronx,7.446762307,41.67,0,0.666666222,8.668711839,10.41828528,2.138512494,1.791759469,2.098698541,2.833213344,37.5,37.5,1,3.650658241,0
365,Castle Hill Av (6),Bronx,8.222063506,41.67,0,0.49999975,8.723394022,10.85724746,1.857744187,1.386294361,1.927182483,2.833213344,36.5,36.5,1,3.624340933,0
366,Parkchester (6),Bronx,9.21198251,54.33,0,0.999999,8.269756948,11.1542342,1.825840327,1.386294361,1.846100741,2.772588722,34,35.12,2,3.555348061,0
367,St Lawrence Av (6),Bronx,7.813797031,45.33,0,0.999999,8.04334217,11.02606048,1.830306643,0.693147181,1.989378602,2.833213344,35,35,1,3.583518938,0
368,Morrison Av-Soundview (6),Bronx,8.217962722,45,0,0.666666222,7.571473649,11.05181022,1.775332959,1.098612289,2.011136679,2.772588722,33.75,33.75,1,3.548179572,0
369,Elder Av (6),Bronx,8.214944075,45.33,0,0.666666222,7.711101252,10.89139172,2.106796245,0.693147181,1.934735573,2.833213344,32.5,32.5,1,3.511545439,0
370,Whitlock Av (6),Bronx,7.113331836,45.67,0,0.666666222,5.988961417,10.85560864,2.271875227,1.098612289,2.413278698,1.386294361,31,31,1,3.465735903,0
371,Hunts Point Av (6),Bronx,8.800852816,54.33,0,0.999999,8.402006782,10.7629751,2.334338821,2.079441542,2.373651576,2.397895273,28.5,29,2,3.384390263,0
372,Longwood Av (6),Bronx,7.723488301,45.33,0,0.999999,8.783549477,10.77760121,2.186467943,2.302585093,2.453037146,2.63905733,28,28,1,3.36729583,0
373,E 149 St (6),Bronx,8.027440708,46,0,0.999999,8.075271546,10.62478478,2.113467364,1.791759469,2.358546085,2.772588722,26.5,26.5,1,3.314186005,0
374,E 143 St-St Mary's St (6),Bronx,6.836721138,46,0,0.999999,7.944137491,10.47522952,2.154512099,0,2.22265413,2.564949357,25.5,25.5,1,3.277144733,0
375,Cypress Av (6),Bronx,7.514471795,46.33,0,0.999999,8.126813721,10.36394577,1.857940905,0.693147181,2.358047279,2.48490665,24,24,1,3.218875825,0
376,Brook Av (6),Bronx,8.144446722,46.67,0,0.999999,8.418477218,10.84022776,2.113769537,2.197224577,2.456694328,2.564949357,23,23,1,3.17805383,0
377,3 Av-138 St (6),Bronx,8.62036576,57.67,0,0.999999,8.662331957,10.67708505,2.098356303,2.079441542,2.522678443,2.772588722,21.25,21.38,2,3.102342009,0
392,"125 St (4,5,6)",Manhattan,9.723251121,139,0,1.999996,8.804775259,10.95348716,2.087292047,3.433987204,2.298698177,3.295836866,12.75,15.25,4,2.621038824,0
393,116 St (6),Manhattan,9.093232845,58,0,0.999999,8.889032572,11.3374524,1.787865763,3.401197382,2.322379019,3.295836866,15.5,15.5,2,2.803360381,0
394,110 St (6),Manhattan,8.814812105,58,0,0.999999,9.070158341,11.40263057,1.61907725,3.36729583,2.477696622,3.36729583,14.5,14.5,2,2.740840024,0
395,103 St (6),Manhattan,9.045691162,58.33,0,0.999999,9.251098364,11.35153531,1.717983775,3.33220451,2.739742121,3.258096538,13,13,2,2.63905733,0
396,96 St (6),Manhattan,9.4869721,57.67,0,0.999999,9.476083537,11.50389481,1.811701779,3.931825633,2.759857947,3.295836866,11,11,2,2.48490665,0
397,"86 St (4,5,6)",Manhattan,10.42786081,141.67,0,1.999996,9.484329117,11.64094042,1.737196586,4.025351691,2.818281051,3.663561646,8,8.5,4,2.197224577,0
398,77 St (6),Manhattan,9.959834162,58.33,0,0.999999,9.62152244,11.50571956,1.725926377,3.891820298,3.103709003,3.663561646,7,7,2,2.079441542,0
399,68 St-Hunter College (6),Manhattan,9.845591626,59,0,0.999999,10.30152514,11.27269933,1.616459289,3.761200116,3.362494577,4.430816799,5.5,5.5,2,1.871802177,0
613,"Lexington Av/59 St (4,5,6,N,R,W)",Manhattan,10.58049049,82,2,0.999999,10.51669827,11.08881256,1.694599717,4.060443011,3.61169018,4.465908119,3,3.5,7,1.386294361,0
612,"Lexington Av/51-53 Sts (6,E,F)",Manhattan,10.65903269,66.67,1,0.999999,11.08257323,10.97958153,1.537171286,4.262679877,3.677996523,4.465908119,2,4.5,4,1.098612289,0
610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,11.63129938,67.67,1,0.999999,11.27397006,10.92787904,1.568827582,4.682131227,3.786381876,4.510859507,0,0,2,0,0
